brand,model,vehicle_type,energy_type,price_min,price_max,cltc_range,battery_kwh,fast_charge_minutes,seats,drive_type,adas_level,smart_cockpit,wheelbase,trunk_volume,safety_score,monthly_sales,suitable_scenarios,highlights,weaknesses,image_url
极氪,001,猎装车,纯电,269000,329000,750,100.0,30,5,四驱,L2+,ZEEKR OS,3005,2144,94,9000,性能;旅行;家庭;长途,空间大;性能强;底盘高级,车身较宽;低速能耗偏高,https://img2.bitauto.com/bitauto/2023/0228/a7b8c9d0-1e2f-3456-abcd-567890123456_800.jpg
吉利,银河L7,SUV,插混,125700,169700,1370,18.7,30,5,前驱,L2,银河N OS,2785,650,89,10500,家用;预算有限;低油耗;无家充,价格亲民;插混省油;配置丰富,品牌高端感一般;底盘质感普通,
长安,深蓝S7,SUV,增程,149900,217900,1120,31.7,35,5,后驱,L2,Deepal OS,2900,570,88,9800,年轻家庭;预算敏感;增程;城市通勤,设计年轻;价格友好;增程实用,品牌服务网络差异;智能化一般,
零跑,C11,SUV,增程,148800,205800,1210,43.7,30,5,后驱,L2,Leapmotor OS,2930,375,87,14000,预算敏感;家用;增程;空间,价格优势大;空间宽敞;配置高,品牌溢价弱;保值率一般,
埃安,AION Y,SUV,纯电,119800,189800,610,69.9,40,5,前驱,L2,ADiGO,2750,405,88,16000,网约;城市通勤;家庭代步;预算有限,空间大;价格亲民;城市代步好,高速质感一般;智能化一般,
大众,ID.4 CROZZ,SUV,纯电,193900,293900,600,84.8,40,5,后驱,L2,MEB座舱,2765,512,91,5200,合资品牌;家用;稳定;城市通勤,底盘稳;品牌认知高;安全配置扎实,智能座舱较弱;补能体验一般,
宝马,iX3,SUV,纯电,405000,445000,550,80.0,45,5,后驱,L2,iDrive,2864,510,92,3400,豪华品牌;家庭;驾驶质感,品牌豪华;操控好;做工稳定,续航参数一般;智能化弱,
腾势,N7,SUV,纯电,239800,329800,702,91.4,25,5,四驱,L2+,Denza Link,2940,480,93,4300,豪华家用;舒适;长途;智能化,舒适配置强;底盘高级;品牌背书,销量规模有限;价格区间竞争激烈,https://img2.bitauto.com/bitauto/2023/0703/d4e5f6a7-8b9c-0123-defa-234567890123_800.jpg
岚图,FREE,SUV,增程,266900,266900,1201,39.2,30,5,四驱,L2+,VOYAH OS,2960,560,92,3600,长途;家庭;舒适;增程,底盘质感强;配置高;长途友好,品牌认知较弱;门店覆盖有限,
哪吒,L,SUV,增程,129900,179900,1300,40.0,30,5,后驱,L2,Neta OS,2810,583,86,4200,预算有限;家用;增程;年轻用户,价格低;配置丰富;续航焦虑低,品牌保值弱;高端感不足,
小米,SU7,轿车,纯电,215900,299900,830,101.0,19,5,后驱,L2+,澎湃座舱,3000,517,92,18000,年轻用户;科技;性能;城市通勤,智能生态强;性能突出;设计吸引力强,交付周期可能较长;后排空间一般,https://img2.bitauto.com/bitauto/2024/0328/e5f6a7b8-9c0d-1234-efab-345678901234_800.jpg
特斯拉,Model 3,轿车,纯电,235500,339500,830,78.4,27,5,后驱,L2,特斯拉座舱,2875,682,93,22000,年轻用户;社交形象;城市通勤;长续航;品牌,品牌识别度高;能耗优秀;操控直接;补能网络成熟,内饰简约;舒适配置少;价格波动,"https://digitalassets.tesla.com/tesla-contents/image/upload/f_auto,q_auto/Model-3-Order-Hero-Desktop-Global.png"
奔驰,E300L,轿车,燃油,465000,529800,0,0,0,5,后驱,L2,MBUX,3094,540,94,9000,豪华商务;社交形象;行政接待;家庭,豪华品牌认知强;内饰氛围好;后排舒适;商务属性强,购车和用车成本高;智能化和能耗不如新能源,
宝马,530Li,轿车,燃油,439900,525900,0,0,0,5,后驱,L2,iDrive,3105,520,93,8500,豪华商务;驾驶质感;社交形象;家庭,驾驶质感好;品牌运动属性强;底盘扎实;后排空间充足,内饰豪华感因人而异;用车成本高,
奥迪,A6L,轿车,燃油,427900,656800,0,0,0,5,前驱,L2,MMI,3024,430,92,7800,商务;家庭;稳重;行政,商务形象稳重;优惠空间大;乘坐舒适,智能座舱体验偏传统;年轻吸引力一般,
奔驰,EQE,轿车,纯电,478000,627000,752,96.1,48,5,后驱,L2,MBUX,3120,430,92,2600,豪华纯电;商务;舒适;品牌,奔驰豪华氛围;纯电静谧;乘坐舒适,价格高;补能和保值需评估,
宝马,i5,轿车,纯电,439900,639900,567,79.1,32,5,后驱,L2,iDrive,3105,490,92,3200,豪华纯电;驾驶质感;商务;家庭,宝马操控;豪华品牌;纯电体验,续航参数不突出;价格较高,
享界,S9,轿车,纯电,399800,449800,816,100.0,20,5,后驱,L2+,鸿蒙座舱,3050,378,93,6200,鸿蒙智行;行政轿车;智能化;舒适,鸿蒙座舱;华为智驾;行政级舒适;科技属性强,品牌仍在建立;价格区间竞争激烈,
享界,S9增程,轿车,增程,309800,369800,1355,53.4,25,5,后驱,L2+,鸿蒙座舱,3050,378,93,7000,鸿蒙智行;行政轿车;长途;无续航焦虑,增程补能灵活;鸿蒙座舱;华为智驾;舒适性强,品牌保值需要观察;后备箱空间一般,
尊界,S800,轿车,增程,1000000,1500000,1200,65.0,30,5,四驱,L2+,鸿蒙座舱,3370,500,95,1200,超豪华;旗舰;商务接待;品牌形象,鸿蒙智行旗舰;超豪华定位;科技配置高;行政形象强,价格极高;目标用户窄;参数以官方实时发布为准,
问界,M5,SUV,增程,249800,309800,1440,42.0,30,5,后驱,L2+,鸿蒙座舱,2880,369,92,6500,鸿蒙智行;年轻家庭;智驾;长续航,鸿蒙座舱;华为智驾;增程续航长,后排和后备箱不如大尺寸SUV,
问界,M8,SUV,增程,359800,449800,1400,52.0,30,6,四驱,L2+,鸿蒙座舱,3105,660,94,9000,鸿蒙智行;六座家庭;长途;舒适,六座布局;鸿蒙座舱;智能化强;长途友好,车身较大;价格较高,
阿维塔,12,轿车,纯电,265800,400800,700,94.5,20,5,后驱,L2+,鸿蒙座舱,3020,490,92,5200,设计;智驾;年轻用户;社交形象,造型个性;华为智驾;座舱科技感强,后排头部空间因造型受限;品牌认知仍在成长,https://img2.bitauto.com/bitauto/2023/1110/c9d0e1f2-3a4b-5678-cdef-789012345678_800.jpg
智界,S7,轿车,纯电,249800,349800,855,100.0,20,5,后驱,L2+,鸿蒙座舱,2950,420,92,6800,鸿蒙智行;年轻用户;智驾;长续航,华为智驾;长续航;座舱智能化强,交付和渠道体验需关注,
智界,R7,SUV,纯电,259800,379800,802,100.0,20,5,后驱,L2+,鸿蒙座舱,2950,837,93,8200,鸿蒙智行;家庭SUV;智驾;长续航,轿跑SUV;鸿蒙座舱;空间和智驾兼顾,造型偏运动;后排头部需试坐,
蔚来,ET7,轿车,纯电,428000,516000,705,100.0,40,5,四驱,L2+,Banyan,3060,503,94,2600,高端商务;换电;舒适;品牌服务,换电体系;行政舒适;服务体验强,购车门槛高;能耗偏高,
极氪,009,MPV,纯电,439000,789000,822,140.0,35,6,四驱,L2+,ZEEKR OS,3205,376,95,3600,高端家庭;商务MPV;六座;安全,空间豪华;安全配置强;纯电MPV标杆,价格高;车身大,
